image_id,tile_id,region_id,area,rad51_count_th0.15,rad51_area_th0.15,rad51_count_th0.2,rad51_area_th0.2,rad51_count_th0.25,rad51_area_th0.25,prob_count_th0.3,prob_area_th0.3,prob_count_th0.365,prob_area_th0.365,prob_count_th0.4,prob_area_th0.4
A1,tile_03,35,1424.0,12,0.02819000898586347,7,0.015443222313994769,6,0.013237047697709803,7,0.1507552714830034,6,0.11545647396130508,4,0.06814628236749198
A1,tile_03,36,1146.0,15,0.04112032269096589,7,0.019189483922450744,4,0.010965419384257567,4,0.113004741036247,3,0.10538986632129077,2,0.03959734984925488
A1,tile_03,37,781.0,3,0.012067577414557464,2,0.008045051609704977,1,0.004022525804852488,4,0.13855367311289613,2,0.0862608358893596,1,0.06436041466863146
A1,tile_03,38,731.0,9,0.04202160716155978,4,0.017190657475183547,2,0.008595328737591773,4,0.12415475493090586,3,0.11651446424659072,1,0.06876263181422869
A1,tile_03,39,1152.0,6,0.018483521592301058,2,0.00545415391248228,1,0.00272707695624114,4,0.07484311527676052,4,0.07484311527676052,3,0.059995690981547035
A1,tile_03,40,1362.0,5,0.02998583296377923,2,0.004613205071350651,1,0.0023066025356753253,6,0.08457542901172162,4,0.06894179132716421,3,0.06253456194145214
A1,tile_03,41,842.0,3,0.011193322993787861,2,0.007462215329191908,2,0.007462215329191908,3,0.0356528085087937,1,0.014924431073693935,1,0.014924431073693935
A1,tile_03,42,1055.0,7,0.020844690592538913,2,0.0059556258835825465,1,0.0029778129417912733,3,0.03639549508478969,3,0.03639549508478969,1,0.01191125209862587
A1,tile_03,43,858.0,2,0.007323059798577607,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
A1,tile_03,44,763.0,1,0.004117421564337868,1,0.004117421564337868,1,0.004117421564337868,1,0.016469686715662245,1,0.016469686715662245,1,0.016469686715662245
A1,tile_03,45,247.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
A1,tile_03,46,154.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
